term,class,prob
不用,1,0.0001108770373655615886074
不用,3,0.0002879700511146840685543
不用,2,0.0000976022383446660437688
不用,5,0.0001948178453146308082913
短髮,1,0.0001108770373655615886074
短髮,3,0.0001079887691680065324841
短髮,2,0.0000325340794482220123309
短髮,5,0.0000389635690629261616583
兩種,1,0.0001108770373655615886074
兩種,3,0.0001799812819466775496227
兩種,2,0.0000650681588964440246617
兩種,5,0.0000389635690629261616583
教,1,0.0001108770373655615886074
教,3,0.0001439850255573420342772
教,2,0.0000650681588964440246617
教,5,0.0000389635690629261616583
100,1,0.0001108770373655615886074
100,3,0.0003719613160231335772556
100,2,0.0001952044766893320875377
100,5,0.0000779271381258523233165
多少,1,0.0001108770373655615886074
多少,3,0.0001799812819466775496227
多少,2,0.0000976022383446660437688
多少,5,0.0004675628287551139941093
以後,1,0.0014414014857523007196588
以後,3,0.0002039787862062345598531
以後,2,0.0001301363177928880493234
以後,5,0.0007013442431326709098488
33,1,0.0001108770373655615886074
33,3,0.0001199875212977850240468
33,2,0.0000325340794482220123309
33,5,0.0000389635690629261616583
以來,1,0.0001108770373655615886074
以來,3,0.0001199875212977850240468
以來,2,0.0003578748739304421153107
以來,5,0.0000389635690629261616583
父母,1,0.0002217540747311231772148
父母,3,0.0001079887691680065324841
父母,2,0.0002928067150339981042015
父母,5,0.0013247613481394894963811
34,1,0.0001108770373655615886074
34,3,0.0000839912649084495222538
34,2,0.0000325340794482220123309
34,5,0.0000389635690629261616583
味,1,0.0001108770373655615886074
味,3,0.0004079575724124691197062
味,2,0.0000325340794482220123309
味,5,0.0000389635690629261616583
MV,1,0.0001108770373655615886074
MV,3,0.0000359962563893355085693
MV,2,0.0003904089533786641750754
MV,5,0.0000389635690629261616583
獅子座,1,0.0001108770373655615886074
獅子座,3,0.0001919800340764560547379
獅子座,2,0.0000325340794482220123309
獅子座,5,0.0000389635690629261616583
消除,1,0.0001108770373655615886074
消除,3,0.0001799812819466775496227
消除,2,0.0000325340794482220123309
消除,5,0.0000389635690629261616583
過得,1,0.0001108770373655615886074
過得,3,0.0000479950085191140136845
過得,2,0.0000325340794482220123309
過得,5,0.0003117085525034092932661
大家,1,0.0007761392615589311066993
大家,3,0.0009239039139929447041338
大家,2,0.0022123174024790970282339
大家,5,0.0007013442431326709098488
其實,1,0.0008870162989244927088592
其實,3,0.0017038228024285474553057
其實,2,0.0012037609395842143681504
其實,5,0.0007013442431326709098488
粉,1,0.0001108770373655615886074
粉,3,0.0002879700511146840685543
粉,2,0.0000325340794482220123309
粉,5,0.0000389635690629261616583
醋,1,0.0001108770373655615886074
醋,3,0.0002159775383360130649683
醋,2,0.0000325340794482220123309
醋,5,0.0000389635690629261616583
一般,1,0.0004435081494622463544296
一般,3,0.0005519425979698111810884
一般,2,0.0002928067150339981042015
一般,5,0.0005844535359438924248740
用,1,0.0017740325978489854177184
用,3,0.0022197691440090229313131
用,2,0.0010736246217913263459320
用,5,0.0010909799337619325264315
能力,1,0.0001108770373655615886074
能力,3,0.0004679513330613616181770
能力,2,0.0000325340794482220123309
能力,5,0.0001168907071887784985273
增長,1,0.0001108770373655615886074
增長,3,0.0001439850255573420342772
增長,2,0.0000325340794482220123309
增長,5,0.0000389635690629261616583
丈夫,1,0.0001108770373655615886074
丈夫,3,0.0000479950085191140136845
丈夫,2,0.0003253407944822201097561
丈夫,5,0.0003896356906292616165827
麵,1,0.0001108770373655615886074
麵,3,0.0002999688032444626007746
麵,2,0.0000325340794482220123309
麵,5,0.0000389635690629261616583
款式,1,0.0001108770373655615886074
款式,3,0.0002279762904657915700835
款式,2,0.0000325340794482220123309
款式,5,0.0000389635690629261616583
星座,1,0.0001108770373655615886074
星座,3,0.0003359650596337980890151
星座,2,0.0000325340794482220123309
星座,5,0.0000389635690629261616583
日子,1,0.0002217540747311231772148
日子,3,0.0001439850255573420342772
日子,2,0.0002928067150339981042015
日子,5,0.0006623806740697447481905
家裡,1,0.0008870162989244927088592
家裡,3,0.0000479950085191140136845
家裡,2,0.0002928067150339981042015
家裡,5,0.0008182349503214493948236
早就,1,0.0001108770373655615886074
早就,3,0.0000119987521297785034211
早就,2,0.0000325340794482220123309
早就,5,0.0003506721215663354549244
台詞,1,0.0001108770373655615886074
台詞,3,0.0000119987521297785034211
台詞,2,0.0002277385561375540930923
台詞,5,0.0000389635690629261616583
目標,1,0.0001108770373655615886074
目標,3,0.0001679825298168990445075
目標,2,0.0000650681588964440246617
目標,5,0.0000389635690629261616583
昨天,1,0.0001108770373655615886074
昨天,3,0.0000119987521297785034211
昨天,2,0.0002277385561375540930923
昨天,5,0.0001168907071887784985273
影片,1,0.0021066637099456703326184
影片,3,0.0000719925127786710171386
影片,2,0.0009760223834466603834784
影片,5,0.0003506721215663354549244
摩羯座,1,0.0001108770373655615886074
摩羯座,3,0.0001799812819466775496227
摩羯座,2,0.0000325340794482220123309
摩羯座,5,0.0000389635690629261616583
病魔,1,0.0001108770373655615886074
病魔,3,0.0000119987521297785034211
病魔,2,0.0000650681588964440246617
病魔,5,0.0002727449834404831316079
裡,1,0.0016631555604834239239787
裡,3,0.0006719301192675961780301
裡,2,0.0002277385561375540930923
裡,5,0.0009351256575102279882186
1990,1,0.0001108770373655615886074
1990,3,0.0000119987521297785034211
1990,2,0.0002277385561375540930923
1990,5,0.0000389635690629261616583
正式,1,0.0001108770373655615886074
正式,3,0.0000119987521297785034211
正式,2,0.0004554771122751081861846
正式,5,0.0000779271381258523233165
以下,1,0.0002217540747311231772148
以下,3,0.0003359650596337980890151
以下,2,0.0001626703972411100548780
以下,5,0.0000779271381258523233165
嫁給,1,0.0001108770373655615886074
嫁給,3,0.0000719925127786710171386
嫁給,2,0.0000976022383446660437688
嫁給,5,0.0004675628287551139941093
有助於,1,0.0001108770373655615886074
有助於,3,0.0001319862734275635291620
有助於,2,0.0000325340794482220123309
有助於,5,0.0000389635690629261616583
陪,1,0.0006652622241933695045393
陪,3,0.0001319862734275635291620
陪,2,0.0000650681588964440246617
陪,5,0.0009351256575102279882186
我要,1,0.0001108770373655615886074
我要,3,0.0000239975042595570068422
我要,2,0.0000325340794482220123309
我要,5,0.0002727449834404831316079
腰,1,0.0001108770373655615886074
腰,3,0.0001079887691680065324841
腰,2,0.0000325340794482220123309
腰,5,0.0000389635690629261616583
即可,1,0.0001108770373655615886074
即可,3,0.0003599625638933550992454
即可,2,0.0000325340794482220123309
即可,5,0.0000389635690629261616583
學生,1,0.0001108770373655615886074
學生,3,0.0002759712989849055905442
學生,2,0.0000325340794482220123309
學生,5,0.0001948178453146308082913
做出,1,0.0002217540747311231772148
做出,3,0.0001559837776871205393923
做出,2,0.0000650681588964440246617
做出,5,0.0000389635690629261616583
比較,1,0.0008870162989244927088592
比較,3,0.0006119363586187036253491
比較,2,0.0003904089533786641750754
比較,5,0.0001168907071887784985273
送,1,0.0002217540747311231772148
送,3,0.0001079887691680065324841
送,2,0.0003904089533786641750754
送,5,0.0004675628287551139941093
曾經,1,0.0003326311120966847522697
曾經,3,0.0002879700511146840685543
曾經,2,0.0009434883039984383237136
曾經,5,0.0002337814143775569970547
身體,1,0.0006652622241933695045393
身體,3,0.0007679201363058242189516
身體,2,0.0003578748739304421153107
身體,5,0.0009351256575102279882186
水分,1,0.0001108770373655615886074
水分,3,0.0001919800340764560547379
水分,2,0.0000325340794482220123309
水分,5,0.0001168907071887784985273
假如,1,0.0001108770373655615886074
假如,3,0.0000839912649084495222538
假如,2,0.0000325340794482220123309
假如,5,0.0000389635690629261616583
起到,1,0.0001108770373655615886074
起到,3,0.0001559837776871205393923
起到,2,0.0000325340794482220123309
起到,5,0.0000389635690629261616583
一定,1,0.0009978933362900543110191
一定,3,0.0011518802044587362742173
